employee_id,effective_date,salary,reason
165,2021-01-01,23152,Annual Hike
165,2022-01-01,24309,Annual Hike
165,2023-01-01,26496,Annual Hike
166,2022-04-25,23265,Joining
166,2023-01-01,24893,Annual Hike
167,2020-03-06,218148,Joining
167,2021-01-01,237781,Annual Hike
167,2022-01-01,259181,Annual Hike
167,2023-01-01,272140,Annual Hike
168,2020-11-14,20081,Joining
168,2021-01-01,21085,Annual Hike
168,2022-01-01,22982,Annual Hike
168,2023-01-01,25050,Annual Hike
169,2022-04-03,21541,Joining
170,2020-04-10,150646,Joining
170,2021-01-01,158178,Annual Hike
170,2022-01-01,169250,Annual Hike
170,2023-01-01,177712,Annual Hike
171,2020-06-20,28615,Joining
171,2021-01-01,30045,Annual Hike
171,2022-01-01,31547,Annual Hike
172,2015-11-08,67838,Joining
172,2017-01-01,71229,Annual Hike
172,2018-01-01,77639,Annual Hike
172,2020-01-01,83073,Annual Hike
172,2021-01-01,87226,Annual Hike
172,2023-01-01,93331,Annual Hike
173,2020-11-08,42752,Joining
173,2021-01-01,45744,Annual Hike
174,2017-09-29,33964,Joining
174,2018-01-01,37020,Annual Hike
174,2020-01-01,38871,Annual Hike
175,2022-04-14,91840,Joining
175,2023-01-01,98268,Annual Hike
176,2021-04-28,27481,Joining
176,2022-01-01,28855,Annual Hike
176,2023-01-01,31451,Annual Hike
177,2021-07-31,15959,Joining
177,2022-01-01,17395,Annual Hike
177,2023-01-01,18264,Annual Hike
178,2016-02-20,33291,Joining
178,2020-01-01,36287,Annual Hike
178,2022-01-01,39552,Annual Hike
178,2023-01-01,41529,Annual Hike
179,2021-05-06,16460,Joining
179,2022-01-01,17283,Annual Hike
179,2023-01-01,18492,Annual Hike
180,2020-04-01,15706,Joining
180,2021-01-01,16491,Annual Hike
180,2022-01-01,17645,Annual Hike
180,2023-01-01,18527,Annual Hike
181,2022-01-22,22363,Joining
181,2023-01-01,24375,Annual Hike
182,2020-10-17,17522,Joining
182,2021-01-01,20150,Promotion
183,2023-11-03,26052,Joining
184,2016-07-30,25100,Joining
184,2017-01-01,26857,Annual Hike
184,2018-01-01,28736,Annual Hike
184,2021-01-01,31322,Annual Hike
184,2022-01-01,32888,Annual Hike
184,2023-01-01,35847,Annual Hike
185,2020-03-09,16200,Joining
185,2021-01-01,17010,Annual Hike
185,2022-01-01,19561,Promotion
186,2020-07-05,61454,Joining
186,2021-01-01,66984,Annual Hike
186,2023-01-01,70333,Annual Hike
187,2021-01-28,23437,Joining
187,2022-01-01,24608,Annual Hike
187,2023-01-01,26330,Annual Hike
188,2019-10-12,15233,Joining
188,2020-01-01,16299,Annual Hike
188,2021-01-01,17439,Annual Hike
189,2022-07-22,66923,Joining
189,2023-01-01,70269,Annual Hike
190,2023-07-28,31774,Joining
191,2016-06-05,25730,Joining
191,2017-01-01,27016,Annual Hike
191,2018-01-01,28907,Annual Hike
192,2016-09-18,33714,Joining
192,2017-01-01,36073,Annual Hike
192,2019-01-01,39319,Annual Hike
192,2021-01-01,42857,Annual Hike
192,2022-01-01,45856,Annual Hike
192,2023-01-01,49983,Annual Hike
193,2020-06-18,15947,Joining
193,2021-01-01,17063,Annual Hike
193,2022-01-01,18598,Annual Hike
194,2021-11-04,16620,Joining
194,2022-01-01,17451,Annual Hike
195,2022-07-22,25292,Joining
195,2023-01-01,27062,Annual Hike
196,2016-10-18,17774,Joining
196,2018-01-01,19018,Annual Hike
196,2020-01-01,20349,Annual Hike
196,2021-01-01,21366,Annual Hike
197,2021-01-07,48289,Joining
197,2022-01-01,52635,Annual Hike
197,2023-01-01,56319,Annual Hike
198,2020-09-09,100265,Joining
198,2022-01-01,105278,Annual Hike
198,2023-01-01,112647,Annual Hike
199,2020-07-21,43207,Joining
199,2021-01-01,45367,Annual Hike
199,2023-01-01,49450,Annual Hike
200,2018-04-25,27408,Joining
200,2019-01-01,29874,Annual Hike
200,2020-01-01,34355,Promotion
200,2021-01-01,36072,Annual Hike
200,2022-01-01,39318,Annual Hike
200,2023-01-01,42856,Annual Hike
201,2021-05-06,15035,Joining
201,2022-01-01,16087,Annual Hike
201,2023-01-01,17534,Annual Hike
202,2021-10-13,18188,Joining
202,2022-01-01,19461,Annual Hike
202,2023-01-01,20823,Annual Hike
203,2015-12-14,45876,Joining
203,2016-01-01,48169,Annual Hike
203,2017-01-01,51540,Annual Hike
203,2019-01-01,55147,Annual Hike
203,2020-01-01,57904,Annual Hike
203,2021-01-01,61957,Annual Hike
203,2022-01-01,65054,Annual Hike
203,2023-01-01,70908,Annual Hike
204,2015-09-09,20751,Joining
204,2017-01-01,22618,Annual Hike
204,2018-01-01,23748,Annual Hike
204,2019-01-01,24935,Annual Hike
204,2020-01-01,27179,Annual Hike
204,2021-01-01,28537,Annual Hike
204,2022-01-01,30534,Annual Hike
204,2023-01-01,33282,Annual Hike
205,2015-10-11,55035,Joining
205,2016-01-01,59988,Annual Hike
205,2020-01-01,64187,Annual Hike
205,2023-01-01,67396,Annual Hike
206,2018-04-22,23372,Joining
206,2019-01-01,25008,Annual Hike
206,2020-01-01,26258,Annual Hike
206,2021-01-01,28621,Annual Hike
206,2022-01-01,31196,Annual Hike
206,2023-01-01,32755,Annual Hike
207,2020-10-17,33420,Joining
207,2021-01-01,36427,Annual Hike
207,2022-01-01,38248,Annual Hike
208,2021-08-06,26133,Joining
208,2022-01-01,28484,Annual Hike
208,2023-01-01,29908,Annual Hike
209,2022-07-20,17084,Joining
210,2022-07-09,15900,Joining
210,2023-01-01,17013,Annual Hike
211,2020-11-09,23118,Joining
212,2017-06-09,15135,Joining
212,2018-01-01,16497,Annual Hike
212,2019-01-01,17651,Annual Hike
212,2022-01-01,18886,Annual Hike
212,2023-01-01,19830,Annual Hike
213,2020-04-16,68367,Joining
213,2021-01-01,71785,Annual Hike
214,2023-12-01,38451,Joining
215,2021-02-21,51455,Joining
215,2023-01-01,55056,Annual Hike
216,2015-11-18,202213,Joining
216,2018-01-01,220412,Annual Hike
216,2019-01-01,235840,Annual Hike
216,2020-01-01,247632,Annual Hike
216,2021-01-01,264966,Annual Hike
216,2023-01-01,288812,Annual Hike
217,2020-02-08,45585,Joining
218,2016-09-28,47350,Joining
218,2017-01-01,49717,Annual Hike
219,2020-01-25,16379,Joining
219,2021-01-01,17197,Annual Hike
220,2020-02-09,157395,Joining
220,2021-01-01,168412,Annual Hike
220,2023-01-01,183569,Annual Hike
221,2022-11-26,34344,Joining
221,2023-01-01,36748,Annual Hike
222,2021-05-28,16745,Joining
222,2022-01-01,18252,Annual Hike
222,2023-01-01,19164,Annual Hike
223,2021-09-06,31180,Joining
223,2022-01-01,32739,Annual Hike
223,2023-01-01,37649,Promotion
224,2022-02-02,57131,Joining
224,2023-01-01,59987,Annual Hike
225,2020-05-01,16159,Joining
225,2021-01-01,17290,Annual Hike
225,2022-01-01,18500,Annual Hike
226,2019-06-01,21338,Joining
226,2020-01-01,22404,Annual Hike
226,2021-01-01,24420,Annual Hike
226,2022-01-01,26129,Annual Hike
226,2023-01-01,27435,Annual Hike
227,2021-08-25,50773,Joining
227,2022-01-01,53311,Annual Hike
228,2020-06-25,22912,Joining
228,2021-01-01,24515,Annual Hike
228,2022-01-01,25740,Annual Hike
228,2023-01-01,27541,Annual Hike
229,2022-10-27,46467,Joining
230,2022-03-07,28512,Joining
230,2023-01-01,30507,Annual Hike
231,2022-08-06,16284,Joining
231,2023-01-01,17098,Annual Hike
232,2021-08-28,17127,Joining
232,2022-01-01,18668,Annual Hike
232,2023-01-01,19601,Annual Hike
233,2020-12-19,18151,Joining
233,2021-01-01,19058,Annual Hike
233,2023-01-01,20392,Annual Hike
234,2022-11-29,67029,Joining
234,2023-01-01,70380,Annual Hike
235,2016-08-19,24001,Joining
235,2017-01-01,25201,Annual Hike
235,2018-01-01,26965,Annual Hike
236,2018-04-19,21879,Joining
236,2019-01-01,23848,Annual Hike
236,2020-01-01,25994,Annual Hike
236,2021-01-01,27293,Annual Hike
236,2022-01-01,31386,Promotion
237,2021-11-30,124865,Joining
238,2021-10-26,225371,Joining
238,2022-01-01,241146,Annual Hike
238,2023-01-01,258026,Annual Hike
239,2020-02-24,15090,Joining
239,2021-01-01,15844,Annual Hike
239,2022-01-01,16636,Annual Hike
239,2023-01-01,18133,Annual Hike
240,2015-05-05,17185,Joining
240,2016-01-01,18044,Annual Hike
240,2017-01-01,19307,Annual Hike
240,2019-01-01,20272,Annual Hike
240,2020-01-01,21285,Annual Hike
240,2021-01-01,22349,Annual Hike
240,2022-01-01,24360,Annual Hike
240,2023-01-01,26552,Annual Hike
241,2019-10-22,32471,Joining
241,2020-01-01,34094,Annual Hike
241,2021-01-01,37162,Annual Hike
241,2023-01-01,39763,Annual Hike
242,2022-03-21,15454,Joining
242,2023-01-01,17772,Promotion
243,2022-12-19,15960,Joining
243,2023-01-01,17396,Annual Hike
244,2020-03-16,81505,Joining
244,2022-01-01,87210,Annual Hike
245,2022-07-19,26962,Joining
245,2023-01-01,28849,Annual Hike
246,2022-10-19,56017,Joining
246,2023-01-01,58817,Annual Hike
247,2022-09-13,15125,Joining
247,2023-01-01,16183,Annual Hike
248,2021-09-18,27467,Joining
248,2022-01-01,29389,Annual Hike
248,2023-01-01,32034,Annual Hike
249,2020-12-18,21671,Joining
249,2022-01-01,23187,Annual Hike
249,2023-01-01,25273,Annual Hike
