employee_id,type,start,days,status
52,Sick Leave,2022-06-14,2,Approved
52,Earned Leave,2023-07-24,3,Approved
53,Earned Leave,2020-04-14,6,Approved
53,Earned Leave,2021-01-02,5,Approved
53,Sick Leave,2021-03-20,2,Approved
53,Earned Leave,2022-05-04,5,Approved
53,Sick Leave,2022-04-14,3,Approved
53,Earned Leave,2023-05-26,3,Approved
54,Earned Leave,2020-08-09,5,Approved
54,Earned Leave,2021-02-02,5,Approved
54,Sick Leave,2022-04-02,3,Approved
54,Earned Leave,2023-07-26,6,Approved
54,Sick Leave,2023-04-04,3,Approved
55,Earned Leave,2021-09-03,3,Approved
55,Earned Leave,2022-11-06,3,Rejected
55,Earned Leave,2023-04-11,6,Approved
56,Sick Leave,2022-06-26,2,Approved
56,Earned Leave,2023-05-18,5,Approved
56,Sick Leave,2023-10-20,3,Approved
57,Earned Leave,2023-05-20,6,Approved
58,Earned Leave,2019-01-17,4,Approved
58,Sick Leave,2020-07-07,2,Approved
58,Earned Leave,2021-02-06,3,Approved
58,Sick Leave,2021-07-07,3,Approved
58,Earned Leave,2022-09-25,5,Approved
58,Sick Leave,2022-06-22,2,Approved
58,Earned Leave,2023-10-05,5,Approved
58,Sick Leave,2023-02-07,3,Approved
59,Earned Leave,2023-05-13,6,Approved
61,Earned Leave,2017-03-16,3,Approved
61,Earned Leave,2018-07-26,4,Approved
61,Sick Leave,2018-02-10,3,Approved
61,Sick Leave,2019-07-04,2,Approved
62,Earned Leave,2016-02-07,3,Approved
62,Sick Leave,2016-02-26,3,Approved
62,Earned Leave,2018-11-26,6,Rejected
62,Earned Leave,2019-04-20,4,Approved
62,Sick Leave,2019-07-10,3,Approved
62,Earned Leave,2020-11-02,4,Rejected
62,Earned Leave,2021-07-03,7,Approved
62,Sick Leave,2023-09-18,2,Approved
63,Sick Leave,2020-04-04,2,Approved
63,Earned Leave,2021-08-10,7,Approved
64,Earned Leave,2018-01-26,7,Approved
64,Sick Leave,2018-01-23,3,Approved
64,Earned Leave,2019-05-11,3,Approved
64,Sick Leave,2019-08-11,3,Approved
64,Earned Leave,2020-01-13,3,Approved
64,Sick Leave,2020-06-20,2,Approved
64,Earned Leave,2021-08-21,6,Approved
64,Sick Leave,2021-08-20,2,Approved
64,Sick Leave,2022-11-11,3,Approved
64,Sick Leave,2023-03-11,2,Approved
65,Earned Leave,2022-04-09,3,Approved
65,Earned Leave,2023-03-04,7,Approved
66,Sick Leave,2022-06-19,2,Approved
67,Sick Leave,2021-09-08,2,Approved
67,Earned Leave,2022-02-01,3,Approved
67,Earned Leave,2023-04-27,3,Approved
67,Sick Leave,2023-08-07,2,Approved
68,Earned Leave,2019-11-13,3,Approved
68,Sick Leave,2019-02-14,2,Approved
68,Earned Leave,2020-08-18,4,Approved
68,Sick Leave,2020-06-16,3,Approved
68,Earned Leave,2021-10-21,7,Approved
68,Earned Leave,2022-11-09,4,Approved
68,Sick Leave,2022-01-05,3,Approved
68,Earned Leave,2023-08-26,5,Approved
68,Sick Leave,2023-03-15,2,Approved
69,Sick Leave,2020-09-26,3,Approved
69,Earned Leave,2021-06-20,6,Approved
69,Sick Leave,2021-05-08,3,Approved
69,Earned Leave,2023-09-06,5,Approved
70,Earned Leave,2022-11-21,4,Rejected
70,Sick Leave,2022-03-12,2,Approved
70,Earned Leave,2023-04-14,4,Approved
70,Sick Leave,2023-01-07,3,Approved
71,Earned Leave,2023-08-26,4,Approved
71,Sick Leave,2023-05-07,3,Approved
73,Sick Leave,2023-11-25,2,Approved
74,Earned Leave,2022-03-13,5,Approved
75,Earned Leave,2023-07-12,3,Approved
76,Earned Leave,2022-03-12,7,Approved
77,Earned Leave,2021-10-12,4,Approved
77,Earned Leave,2022-07-09,4,Approved
77,Sick Leave,2022-10-27,3,Approved
77,Earned Leave,2023-06-05,3,Approved
77,Sick Leave,2023-04-11,3,Approved
78,Earned Leave,2023-04-24,4,Approved
79,Earned Leave,2020-07-06,4,Approved
79,Earned Leave,2021-06-14,3,Approved
79,Sick Leave,2021-07-03,3,Approved
79,Earned Leave,2022-02-26,6,Approved
79,Earned Leave,2023-04-09,6,Approved
79,Sick Leave,2023-10-18,3,Approved
80,Earned Leave,2022-10-08,6,Approved
81,Earned Leave,2022-11-24,6,Rejected
81,Sick Leave,2022-03-03,3,Approved
82,Earned Leave,2022-05-03,5,Approved
82,Sick Leave,2022-07-03,3,Approved
82,Earned Leave,2023-08-04,5,Approved
83,Earned Leave,2020-11-26,7,Approved
83,Sick Leave,2020-08-25,3,Approved
83,Sick Leave,2021-08-15,3,Approved
83,Sick Leave,2022-02-11,3,Approved
84,Earned Leave,2021-04-15,6,Approved
84,Sick Leave,2021-08-03,3,Approved
84,Earned Leave,2022-08-18,7,Approved
84,Earned Leave,2023-10-01,6,Approved
85,Sick Leave,2022-10-22,3,Approved
85,Sick Leave,2023-09-23,3,Approved
86,Earned Leave,2023-09-11,7,Approved
87,Earned Leave,2021-11-11,5,Approved
87,Sick Leave,2023-10-09,2,Approved
88,Sick Leave,2019-01-05,3,Approved
88,Earned Leave,2020-01-04,3,Approved
88,Earned Leave,2021-08-04,3,Approved
88,Sick Leave,2022-03-14,3,Approved
88,Earned Leave,2023-10-19,7,Approved
88,Sick Leave,2023-04-26,2,Approved
89,Earned Leave,2017-05-19,7,Approved
89,Earned Leave,2018-10-18,6,Approved
89,Earned Leave,2020-02-09,3,Approved
89,Earned Leave,2022-02-04,5,Approved
89,Sick Leave,2022-09-27,3,Approved
89,Earned Leave,2023-10-27,6,Approved
89,Sick Leave,2023-09-10,2,Approved
90,Earned Leave,2023-08-18,7,Approved
90,Sick Leave,2023-05-13,3,Approved
91,Earned Leave,2022-06-26,6,Approved
91,Earned Leave,2023-01-16,7,Approved
92,Earned Leave,2018-10-10,3,Approved
92,Sick Leave,2018-11-02,3,Approved
92,Sick Leave,2021-06-08,3,Approved
92,Earned Leave,2022-09-09,4,Approved
92,Earned Leave,2023-09-01,5,Approved
93,Earned Leave,2022-01-26,5,Approved
93,Sick Leave,2023-08-27,3,Approved
94,Earned Leave,2015-11-05,6,Approved
94,Sick Leave,2016-08-18,3,Approved
95,Earned Leave,2021-06-12,4,Approved
95,Sick Leave,2021-07-05,2,Approved
95,Sick Leave,2022-06-09,2,Approved
95,Earned Leave,2023-09-22,3,Approved
96,Earned Leave,2021-05-18,3,Approved
96,Earned Leave,2022-11-12,3,Approved
97,Earned Leave,2021-02-23,4,Approved
97,Earned Leave,2022-08-12,6,Approved
98,Earned Leave,2020-11-05,5,Approved
98,Earned Leave,2021-01-13,7,Approved
98,Earned Leave,2022-01-20,4,Approved
98,Earned Leave,2023-04-25,3,Approved
99,Earned Leave,2015-10-21,4,Approved
99,Earned Leave,2016-07-05,4,Approved
99,Earned Leave,2017-01-02,7,Approved
99,Sick Leave,2017-03-23,2,Approved
99,Earned Leave,2019-10-18,3,Approved
99,Sick Leave,2021-10-23,2,Approved
99,Earned Leave,2022-10-04,6,Approved
99,Earned Leave,2023-08-09,3,Approved
100,Earned Leave,2018-09-26,7,Approved
100,Earned Leave,2019-02-05,3,Approved
100,Sick Leave,2019-10-05,2,Approved
100,Earned Leave,2023-01-04,7,Approved
100,Sick Leave,2023-10-13,2,Approved
101,Earned Leave,2022-10-04,7,Approved
101,Earned Leave,2023-03-16,7,Approved
102,Earned Leave,2022-11-22,7,Approved
102,Sick Leave,2022-09-03,2,Approved
102,Earned Leave,2023-02-25,4,Approved
103,Earned Leave,2021-08-19,3,Approved
103,Earned Leave,2023-07-25,7,Approved
103,Sick Leave,2023-07-27,2,Approved
104,Earned Leave,2016-08-17,3,Approved
104,Sick Leave,2016-02-27,2,Approved
104,Earned Leave,2017-05-19,3,Approved
104,Sick Leave,2017-01-04,3,Approved
104,Earned Leave,2019-11-09,5,Approved
104,Sick Leave,2019-02-11,2,Approved
104,Sick Leave,2020-07-23,3,Approved
104,Earned Leave,2021-03-22,4,Approved
104,Sick Leave,2021-01-09,3,Approved
104,Sick Leave,2022-06-14,2,Approved
105,Earned Leave,2018-10-16,7,Approved
105,Sick Leave,2018-09-20,2,Approved
105,Earned Leave,2019-10-03,5,Approved
105,Sick Leave,2019-05-03,2,Approved
105,Earned Leave,2020-08-27,5,Approved
105,Sick Leave,2020-03-06,3,Approved
106,Earned Leave,2018-01-08,3,Approved
106,Sick Leave,2018-07-05,3,Approved
106,Sick Leave,2020-06-05,2,Approved
106,Earned Leave,2021-06-11,3,Approved
106,Sick Leave,2021-03-22,2,Approved
106,Earned Leave,2022-06-26,6,Approved
106,Earned Leave,2023-11-06,5,Approved
106,Sick Leave,2023-07-23,2,Approved
107,Earned Leave,2022-07-05,6,Approved
109,Sick Leave,2023-06-11,3,Approved
110,Earned Leave,2020-10-01,7,Approved
110,Earned Leave,2021-10-07,3,Approved
111,Earned Leave,2022-06-03,4,Approved
111,Sick Leave,2022-05-13,3,Approved
111,Sick Leave,2023-03-17,2,Approved
112,Earned Leave,2018-05-19,5,Approved
112,Earned Leave,2019-01-16,4,Approved
112,Sick Leave,2019-04-01,3,Approved
113,Earned Leave,2017-06-13,7,Approved
113,Sick Leave,2017-04-08,2,Approved
113,Sick Leave,2018-04-08,3,Approved
113,Sick Leave,2019-11-24,3,Approved
114,Earned Leave,2023-03-07,6,Approved
114,Sick Leave,2023-07-12,3,Approved
115,Earned Leave,2020-08-21,6,Approved
115,Sick Leave,2020-07-23,2,Approved
115,Earned Leave,2021-09-06,4,Approved
115,Sick Leave,2021-06-17,3,Approved
115,Earned Leave,2022-10-08,5,Approved
115,Sick Leave,2022-07-04,3,Approved
115,Earned Leave,2023-04-24,5,Approved
115,Sick Leave,2023-09-02,3,Approved
116,Earned Leave,2022-08-10,4,Approved
116,Earned Leave,2023-03-08,6,Approved
116,Sick Leave,2023-01-20,2,Approved
118,Earned Leave,2019-03-16,5,Approved
118,Sick Leave,2019-08-12,3,Approved
118,Sick Leave,2020-04-05,3,Approved
118,Earned Leave,2022-06-04,3,Approved
118,Sick Leave,2022-07-02,3,Approved
118,Sick Leave,2023-07-20,2,Approved
119,Earned Leave,2016-05-02,4,Approved
119,Earned Leave,2017-04-12,6,Approved
119,Sick Leave,2017-08-04,3,Approved
119,Earned Leave,2019-02-14,3,Approved
119,Sick Leave,2019-11-26,3,Approved
119,Earned Leave,2020-02-23,6,Approved
119,Sick Leave,2020-04-08,3,Approved
119,Earned Leave,2021-11-18,6,Approved
119,Earned Leave,2022-11-02,5,Approved
119,Sick Leave,2023-05-13,3,Approved
120,Earned Leave,2022-08-10,5,Approved
120,Sick Leave,2022-09-10,3,Approved
120,Earned Leave,2023-10-07,5,Approved
121,Earned Leave,2021-01-09,6,Approved
121,Sick Leave,2021-04-13,2,Approved
121,Earned Leave,2022-03-18,7,Approved
121,Earned Leave,2023-02-19,3,Approved
121,Sick Leave,2023-06-25,2,Approved
122,Earned Leave,2021-05-26,3,Approved
122,Earned Leave,2022-01-11,4,Approved
122,Earned Leave,2023-09-07,5,Approved
123,Earned Leave,2022-03-13,6,Approved
123,Sick Leave,2023-06-12,3,Approved
124,Earned Leave,2021-10-11,6,Approved
124,Earned Leave,2023-08-24,7,Approved
124,Sick Leave,2023-07-09,3,Approved
125,Earned Leave,2021-06-23,5,Approved
125,Sick Leave,2021-08-06,2,Approved
125,Sick Leave,2022-10-12,2,Approved
125,Earned Leave,2023-03-16,4,Approved
126,Earned Leave,2022-01-21,6,Approved
127,Earned Leave,2020-05-20,5,Approved
127,Earned Leave,2021-10-13,4,Approved
127,Earned Leave,2022-07-18,4,Approved
127,Earned Leave,2023-08-26,7,Approved
128,Earned Leave,2022-02-23,7,Approved
128,Sick Leave,2022-04-20,2,Approved
128,Earned Leave,2023-06-11,4,Approved
128,Sick Leave,2023-11-22,3,Approved
129,Earned Leave,2019-06-16,7,Approved
129,Earned Leave,2021-08-24,7,Approved
129,Sick Leave,2021-07-11,3,Approved
129,Earned Leave,2023-01-09,3,Approved
130,Sick Leave,2022-11-20,3,Approved
130,Earned Leave,2023-02-09,3,Approved
131,Earned Leave,2023-11-21,4,Approved
133,Earned Leave,2021-10-09,7,Approved
133,Earned Leave,2022-04-14,4,Approved
133,Sick Leave,2022-03-05,2,Approved
133,Earned Leave,2023-01-16,7,Approved
134,Sick Leave,2017-03-16,2,Approved
134,Earned Leave,2018-09-21,5,Approved
134,Earned Leave,2019-05-09,3,Approved
134,Sick Leave,2019-06-15,3,Approved
134,Sick Leave,2020-03-02,3,Approved
134,Earned Leave,2021-02-25,7,Approved
134,Sick Leave,2021-11-13,3,Approved
134,Earned Leave,2022-09-07,4,Approved
134,Earned Leave,2023-11-05,7,Approved
134,Sick Leave,2023-10-07,3,Approved
136,Earned Leave,2022-08-17,3,Approved
136,Earned Leave,2023-08-12,4,Approved
137,Earned Leave,2018-02-21,6,Approved
137,Earned Leave,2020-11-17,6,Rejected
137,Earned Leave,2021-03-19,5,Approved
137,Sick Leave,2021-07-25,2,Approved
138,Earned Leave,2022-07-26,6,Approved
138,Earned Leave,2023-02-22,6,Approved
139,Earned Leave,2016-04-06,3,Approved
139,Earned Leave,2017-08-26,7,Approved
141,Sick Leave,2022-03-17,3,Approved
142,Earned Leave,2020-08-19,6,Approved
142,Earned Leave,2021-06-22,4,Approved
142,Earned Leave,2022-05-24,7,Approved
142,Earned Leave,2023-06-11,5,Approved
142,Sick Leave,2023-07-07,3,Approved
143,Earned Leave,2023-09-02,7,Approved
144,Sick Leave,2023-02-20,2,Approved
145,Sick Leave,2020-05-17,3,Approved
145,Earned Leave,2021-01-12,4,Approved
145,Earned Leave,2023-09-01,4,Approved
146,Earned Leave,2023-10-22,5,Approved
147,Sick Leave,2020-03-08,2,Approved
148,Earned Leave,2018-10-27,4,Approved
148,Sick Leave,2019-03-13,2,Approved
148,Earned Leave,2020-08-25,7,Approved
149,Earned Leave,2023-07-09,6,Approved
150,Earned Leave,2018-10-26,6,Approved
150,Earned Leave,2019-02-13,6,Approved
150,Earned Leave,2020-01-14,3,Approved
150,Earned Leave,2021-05-26,6,Approved
150,Earned Leave,2022-01-05,5,Approved
151,Earned Leave,2020-09-24,5,Approved
151,Sick Leave,2020-05-08,3,Approved
151,Earned Leave,2021-11-02,5,Approved
151,Earned Leave,2022-02-26,4,Approved
151,Earned Leave,2023-03-07,4,Approved
152,Earned Leave,2021-10-23,3,Approved
152,Sick Leave,2021-08-13,2,Approved
152,Sick Leave,2022-05-06,2,Approved
152,Earned Leave,2023-08-04,3,Approved
152,Sick Leave,2023-04-20,2,Approved
154,Earned Leave,2023-03-07,4,Approved
155,Earned Leave,2017-05-05,6,Approved
155,Earned Leave,2019-01-08,4,Approved
155,Sick Leave,2019-07-21,3,Approved
155,Sick Leave,2020-07-06,3,Approved
155,Earned Leave,2021-01-25,5,Approved
155,Earned Leave,2022-11-11,5,Approved
155,Earned Leave,2023-04-19,5,Approved
156,Earned Leave,2020-09-07,3,Approved
156,Earned Leave,2021-04-03,6,Approved
156,Earned Leave,2022-03-12,5,Approved
156,Sick Leave,2022-07-16,3,Approved
156,Earned Leave,2023-07-02,6,Approved
156,Sick Leave,2023-04-21,2,Approved
157,Earned Leave,2018-06-26,6,Approved
157,Sick Leave,2018-05-04,3,Approved
157,Earned Leave,2019-01-02,3,Approved
157,Earned Leave,2020-06-23,7,Approved
157,Sick Leave,2020-09-23,3,Approved
157,Earned Leave,2021-07-07,4,Approved
157,Sick Leave,2021-01-22,3,Approved
157,Earned Leave,2022-10-06,7,Approved
157,Sick Leave,2023-10-06,3,Approved
159,Sick Leave,2020-10-12,2,Approved
161,Earned Leave,2019-08-21,6,Approved
161,Sick Leave,2020-09-21,3,Approved
161,Earned Leave,2021-09-26,6,Approved
161,Earned Leave,2022-10-09,3,Approved
161,Sick Leave,2022-08-05,2,Approved
161,Earned Leave,2023-02-10,7,Approved
162,Sick Leave,2022-11-27,2,Approved
162,Earned Leave,2023-02-04,4,Approved
163,Earned Leave,2016-07-26,7,Approved
163,Earned Leave,2017-01-16,5,Approved
163,Earned Leave,2018-08-13,6,Approved
163,Earned Leave,2020-07-11,5,Approved
163,Earned Leave,2021-08-03,5,Approved
163,Earned Leave,2022-10-25,5,Approved
163,Earned Leave,2023-03-22,5,Approved
164,Earned Leave,2022-02-21,6,Approved
164,Sick Leave,2022-06-25,3,Approved
164,Sick Leave,2023-09-11,2,Approved
165,Earned Leave,2021-02-21,3,Approved
165,Earned Leave,2022-09-07,4,Approved
165,Earned Leave,2023-09-25,5,Approved
166,Earned Leave,2023-08-22,7,Approved
167,Earned Leave,2020-03-07,6,Approved
167,Sick Leave,2020-10-15,3,Approved
167,Earned Leave,2021-03-26,5,Approved
167,Earned Leave,2022-03-23,3,Approved
167,Earned Leave,2023-05-13,5,Approved
168,Earned Leave,2020-11-24,3,Approved
168,Earned Leave,2021-05-25,6,Approved
168,Sick Leave,2023-06-27,2,Approved
170,Earned Leave,2020-08-25,5,Approved
170,Sick Leave,2021-03-13,2,Approved
170,Earned Leave,2022-08-24,7,Approved
171,Sick Leave,2021-03-08,3,Approved
171,Sick Leave,2022-06-09,2,Approved
171,Earned Leave,2023-08-17,5,Approved
171,Sick Leave,2023-07-19,3,Approved
172,Earned Leave,2016-09-09,7,Approved
172,Earned Leave,2017-11-09,3,Approved
172,Sick Leave,2018-01-13,2,Approved
172,Earned Leave,2019-11-23,7,Approved
172,Earned Leave,2022-05-05,6,Approved
172,Earned Leave,2023-04-27,5,Approved
174,Earned Leave,2018-01-24,4,Approved
174,Earned Leave,2020-01-12,6,Approved
174,Sick Leave,2020-04-11,3,Approved
175,Sick Leave,2022-09-13,3,Approved
175,Earned Leave,2023-06-10,4,Approved
175,Sick Leave,2023-07-20,3,Approved
176,Earned Leave,2022-11-27,5,Approved
176,Sick Leave,2022-01-17,3,Approved
176,Earned Leave,2023-06-26,4,Approved
176,Sick Leave,2023-02-04,2,Approved
177,Sick Leave,2021-09-11,2,Approved
177,Earned Leave,2022-06-17,3,Approved
177,Sick Leave,2022-09-09,2,Approved
177,Earned Leave,2023-01-03,6,Approved
178,Earned Leave,2017-04-11,6,Approved
178,Earned Leave,2018-10-13,3,Approved
178,Earned Leave,2019-02-19,5,Approved
178,Sick Leave,2019-08-24,2,Approved
178,Earned Leave,2020-10-04,4,Approved
178,Sick Leave,2020-07-24,2,Approved
178,Sick Leave,2021-04-08,3,Approved
178,Sick Leave,2022-08-25,3,Approved
178,Earned Leave,2023-10-09,6,Approved
179,Earned Leave,2021-08-21,4,Approved
179,Sick Leave,2021-08-11,2,Approved
